X_AXIS,Y_AXIS,Z_AXIS
-187.89695229265118,42.1285448039422,-1000.1385141267245
-189.741923122563,32.93077746513863,-977.6944157916025
-196.64170506431756,68.04559584737757,-957.1077142374571
-174.47323193901326,75.80596361308918,-952.5654708580928
-158.73723753727046,56.534439886131516,-993.0748469011683
-148.98352040781822,69.1854986200131,-990.5405969096647
-152.59335411675627,91.00651778223839,-977.9467051607068
-149.80887899507698,102.55037808151738,-959.3238852123224
-154.62198530043415,75.72587763061225,-953.5122043067225
-150.46887857604327,50.24069591762239,-978.1687965152614
-152.04355259282022,46.85151371341233,-981.1292133825464
-154.40396822137217,65.62586624169252,-970.4090259420364
-169.90197275779735,98.22379627001355,-961.2596579569753
-164.9214023124084,76.35436245553826,-968.5572290527093
-173.43201161758446,61.766805668662705,-987.7724070289752
-175.44978051352436,62.168926883945716,-977.7276711949097
-182.08747985892919,68.2203109730191,-947.8186855520373
-166.66166811703428,59.35405146321664,-948.9271969309102
-155.2241474561132,43.482985179278074,-978.3003402601871
-153.7667353252756,58.09460912255165,-974.5749838888798
-183.1058543492794,77.79944373182782,-949.0611276013942
-189.61272319311348,80.3725708370877,-949.0991367931547
-179.28147704468714,65.47503446262934,-986.0868984728472
-167.7437652996197,76.92691097723373,-966.9193891532333
-179.792585045586,82.17232527082595,-954.2214675762195
-191.80905806959385,72.23985665398477,-960.7365964786087
-199.06897015082546,74.1245242756753,-939.0611266835672
-172.31404994045505,58.50750563736699,-968.7485589269277
-164.0632299883741,74.92629754345064,-1005.6265708789789
-177.61071950439114,153.63604350645747,-967.6677994575938
-168.0536426116285,158.55535266647186,-940.7485162425965
-154.2538470809321,101.00524409045131,-973.9068385520511
-147.5739482894628,-1.8492360963219558,-984.7493166090923
-145.98636428420954,-19.01397650208471,-972.4482594653107
-166.3993603156231,-5.676537705504367,-952.6880738016666
-188.08243483650816,128.56907188053177,-954.2775124507021
-193.11785281357874,157.98865533433244,-986.8028239740195
-182.42883778463818,58.13867547970213,-1006.8633899209651
-180.21786605926332,2.238995897985702,-968.0973363264366
-170.1112948143248,-15.444874302160356,-950.7912750769767
-168.7329076067507,7.065341332479527,-974.4976792168961
-170.47976923302303,51.120891993581814,-991.8067353936472
-178.3910527279025,30.5280638873811,-959.7010768007333
-154.19937371259604,-0.7257901847784491,-950.3795860700475
-154.99678000257947,-5.466220480138436,-971.608150984681
-159.45071516644603,6.512775582854683,-997.0696903060091
-163.20574010246227,-7.493128063686773,-1007.1945669746045
-163.2132552662178,-10.03814658779337,-1016.6455412255192
-190.38834887045164,-26.507561053256925,-979.4962701146341
-201.59198593929125,-51.70799302651529,-968.502023040158
-194.9423911643607,-49.10572581182781,-1002.8038394769618
-152.97593963121096,-36.83360498772039,-1040.945876253401
-168.4302770549511,7.663311029018918,-1026.60515471185
-190.7174090792085,21.861111169064475,-999.209355115284
-189.84041146807195,-7.2836348771313055,-956.1763562668079
-171.73114931258715,-14.720138772593295,-933.9092164440659
-122.54106339382108,94.69662148642765,-1002.140699609463
-102.00520285068623,124.93454929020226,-1056.558555559311
-117.37582692081665,83.36101224737001,-1002.2383060816364
-138.2796208930288,55.282435848594204,-961.3154863810452
-159.960672532878,87.29527529015054,-917.582691274617
-171.4126698747806,104.63927386465058,-908.4522600357142
-224.83303937950012,147.74569153570584,-962.5674878769632
-227.83601038318844,170.857554672653,-987.8246020385697
-226.6640337307793,83.34749003712308,-1010.5128776299513
-239.77299963936662,76.71443008462184,-891.0511857912036
-273.7980314031898,90.30804577086867,-845.8813387456196
-316.57248265387244,126.28041920794922,-911.7977857940571
-332.7081560935613,90.03523816886411,-968.0470671876416
-293.11445578411747,69.68967975795594,-950.8182013101728
-295.80098449732395,76.1634141481745,-915.416948450434
-287.79819990626646,118.49046305776716,-923.4661964970393
-281.2348281201281,118.19755216517481,-919.3825432165274
-256.54879078993406,99.62611121702636,-915.401957990257
-235.75760799509104,98.87410549473431,-918.276731359331
-223.13441137646845,96.08226853416456,-898.5917358812422
-231.04834803467855,125.11912574939728,-853.7377395782702
-227.28054923911233,201.14338484565607,-831.1782263468182
-267.2999675543285,270.6573904729156,-838.0749101609746
-289.31147991476746,318.517331425635,-853.5674295277112
-291.5436078780152,363.5772941798415,-909.9808650190746
-290.4506088041061,388.97361124200086,-949.8319392380942
-284.62265815867687,280.9420561830455,-944.0206554252405
-283.24710185052265,138.2757573221918,-901.6986783745615
-312.20238859613823,69.83706397538958,-877.9532872702431
-333.14250910077544,50.15647931062611,-884.8392327206695
-362.5254238727684,88.19027134248464,-946.6430629119117
-359.15076744789457,226.108983868617,-1003.5654507147534
-350.86650427139966,282.1261255978815,-954.1526125029163
-326.44943732670396,232.09897506167914,-877.8230725521388
-327.22457347522106,154.17874253101905,-856.9329815611843
-301.96476559362054,131.6909126359031,-893.1158109312281
-288.16611805812784,115.03359853789989,-917.8848165579559
-269.4682967874419,47.72658450107095,-888.8073098097128
